antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
wholepersoneducation,homeforthebright,0.06873365707881958,0.06798655211057153,0.0654,0.9511,13.9893,1.0,0.06069872036296409,19.054497156850537,0.9970477336542319,0.916230366492147,0.9475189509453691,0.9563127090301005,#wholepersoneducation,#homeforthebright
homeforthebright,wholepersoneducation,0.06798655211057153,0.06873365707881958,0.0654,0.9615,13.9893,1.0,0.06069872036296409,24.212924915950776,0.9962484969939881,0.916230366492147,0.9586997438983,0.9563127090301005,#homeforthebright,#wholepersoneducation
"contributetotheworld, creatingthefuture, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity","entrepreneurialuniversity, safeaiuniversity",0.10347403810235338,0.10310048561822936,0.1031,0.9964,9.6643,1.0,0.09243226204099755,248.44116548375456,0.9999999999999999,0.996389891696751,0.9959749021541867,0.9981949458483754,"#contributetotheworld, #creatingthefuture, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity","#entrepreneurialuniversity, #safeaiuniversity"
safeaiuniversity,"contributetotheworld, entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity",0.10310048561822936,0.10347403810235338,0.1031,1.0,9.6643,1.0,0.09243226204099755,inf,0.9995835068721366,0.996389891696751,1.0,0.9981949458483754,#safeaiuniversity,"#contributetotheworld, #entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity"
"entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity","contributetotheworld, safeaiuniversity",0.10347403810235338,0.10310048561822936,0.1031,0.9964,9.6643,1.0,0.09243226204099755,248.44116548375456,0.9999999999999999,0.996389891696751,0.9959749021541867,0.9981949458483754,"#entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity","#contributetotheworld, #safeaiuniversity"
"creatingthefuture, safeaiuniversity","contributetotheworld, entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity",0.10310048561822936,0.10347403810235338,0.1031,1.0,9.6643,1.0,0.09243226204099755,inf,0.9995835068721366,0.996389891696751,1.0,0.9981949458483754,"#creatingthefuture, #safeaiuniversity","#contributetotheworld, #entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity"
"safeaiuniversity, sustainabilityuniversity","contributetotheworld, creatingthefuture, entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik",0.10310048561822936,0.10347403810235338,0.1031,1.0,9.6643,1.0,0.09243226204099755,inf,0.9995835068721366,0.996389891696751,1.0,0.9981949458483754,"#safeaiuniversity, #sustainabilityuniversity","#contributetotheworld, #creatingthefuture, #entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik"
"entrepreneurialuniversity, safeaiuniversity","contributetotheworld, creatingthefuture, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity",0.10310048561822936,0.10347403810235338,0.1031,1.0,9.6643,1.0,0.09243226204099755,inf,0.9995835068721366,0.996389891696751,1.0,0.9981949458483754,"#entrepreneurialuniversity, #safeaiuniversity","#contributetotheworld, #creatingthefuture, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity"
"contributetotheworld, safeaiuniversity","creatingthefuture, entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity",0.10310048561822936,0.10347403810235338,0.1031,1.0,9.6643,1.0,0.09243226204099755,inf,0.9995835068721366,0.996389891696751,1.0,0.9981949458483754,"#contributetotheworld, #safeaiuniversity","#creatingthefuture, #entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity"
"entrepreneurialuniversity, kampusberdampak, kampusswastaterbaik, sustainabilityuniversity","creatingthefuture, safeaiuniversity",0.10347403810235338,0.10310048561822936,0.1031,0.9964,9.6643,1.0,0.09243226204099755,248.44116548375456,0.9999999999999999,0.996389891696751,0.9959749021541867,0.9981949458483754,"#entrepreneurialuniversity, #kampusberdampak, #kampusswastaterbaik, #sustainabilityuniversity","#creatingthefuture, #safeaiuniversity"
